FileName,Peptides,Protein
20210525_LISS_DIA_M200-Y800_1_Slot2-11_1_474_diatracer,50507,8107
20210525_LISS_DIA_M200-Y800_2_Slot2-11_1_475_diatracer,50416,8132
20210525_LISS_DIA_M200-Y800_3_Slot2-11_1_476_diatracer,50456,8153
20210525_LISS_DIA_M200-Y800_4_Slot2-11_1_477_diatracer,49917,8100
20210525_LISS_DIA_M200-Y800_5_Slot2-11_1_478_diatracer,50437,8145
20210525_LISS_DIA_M400-Y600_1_Slot2-13_1_489_diatracer,63221,8970
20210525_LISS_DIA_M400-Y600_2_Slot2-13_1_490_diatracer,64706,9065
20210525_LISS_DIA_M400-Y600_3_Slot2-13_1_491_diatracer,65015,9077
20210525_LISS_DIA_M400-Y600_4_Slot2-13_1_492_diatracer,65577,9093
20210525_LISS_DIA_M400-Y600_5_Slot2-13_1_493_diatracer,65539,9100
20210916_LISS_DIA_M200-Y800_1_Slot2-10_1_1133_diatracer,60357,8682
20210916_LISS_DIA_M200-Y800_2_Slot2-10_1_1134_diatracer,61490,8717
20210916_LISS_DIA_M200-Y800_3_Slot2-10_1_1135_diatracer,61801,8729
20210916_LISS_DIA_M200-Y800_4_Slot2-10_1_1136_diatracer,60472,8656
20210916_LISS_DIA_M200-Y800_5_Slot2-10_1_1137_diatracer,60277,8633
